run_accession	sample_accession	sample_title	read_count	timepoint	lesional	host_subject_id	chem_administration	dermatology_disord	disease	disease state	description	fastq_ftp
ERR2338205	SAMEA104641135	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	553621								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/005/ERR2338205/ERR2338205.fastq.gz
ERR2338204	SAMEA104641135	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	659761								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/004/ERR2338204/ERR2338204.fastq.gz
ERR2338207	SAMEA104641135	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	689036								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/007/ERR2338207/ERR2338207.fastq.gz
ERR2338209	SAMEA104641135	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	652158								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/009/ERR2338209/ERR2338209.fastq.gz
ERR2338206	SAMEA104641135	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	686791								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/006/ERR2338206/ERR2338206.fastq.gz
ERR2338208	SAMEA104641135	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	652341								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/008/ERR2338208/ERR2338208.fastq.gz
ERR2338216	SAMEA104641136	Demodex folliculorum strain MAP, isolated from the nose area of Dr. M. Alejandra Perotti	110795614								Given the low quantity of individuals (and thus expected DNA quantity) obtained in each collection, 6 independent Whole-genome amplification reactions using the GenomiPhi V2 DNA Amplification Kit (Illustra) were performed and then mixed together.	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/006/ERR2338216/ERR2338216_1.fastq.gz
